current_symbol,primary_FBid,sequence_loc
Polr1A,FBgn0019938,2R:14595611..14601216(-1)
Blos1,FBgn0050077,2R:14601278..14602010(1)
tra2,FBgn0003742,2R:14602004..14604337(-1)
CG12868,FBgn0033945,2R:14604549..14605297(-1)
Su(var)2-HP2,FBgn0026427,2R:14607154..14618118(-1)
Sec61beta,FBgn0010638,2R:14618771..14619681(1)
CG12863,FBgn0033948,2R:14619798..14621320(-1)
Uhg5,FBgn0083123,2R:14621601..14624498(1)
CG10139,FBgn0033951,2R:14645270..14646344(1)
mspo,FBgn0020269,2R:14671396..14713622(-1)
Rpn6,FBgn0028689,2R:14750166..14752910(-1)
ave,FBgn0050476,2R:14752521..14753269(1)
ND-B15,FBgn0033961,2R:14756516..14757072(1)
Trs31,FBgn0266723,2R:14757064..14757846(-1)
Spred,FBgn0020767,2R:14759646..14769423(-1)
asRNA:CR42254,FBgn0259112,2R:14769599..14771295(-1)
BEAF-32,FBgn0015602,2R:14770469..14772630(1)
kn,FBgn0001319,2R:14772650..14807061(-1)
NaPi-T,FBgn0016684,2R:14842720..14845874(-1)
CG10209,FBgn0033971,2R:14846064..14848366(-1)
SMC2,FBgn0027783,2R:14848621..14852653(-1)
Ercc1,FBgn0028434,2R:14852941..14853948(1)
Ciao1,FBgn0033972,2R:14853863..14855048(-1)
HPS1,FBgn0033973,2R:14855429..14857502(1)
CG33506,FBgn0053506,2R:14857447..14858640(-1)
U3-55K,FBgn0053505,2R:14858845..14860758(-1)
Pcf11,FBgn0264962,2R:14860936..14871071(-1)
Cyp6a22,FBgn0013773,2R:14871366..14873705(1)
Cyp6a17,FBgn0015714,2R:14873953..14875739(1)
Cyp6a19,FBgn0033979,2R:14877786..14879752(1)
Kank,FBgn0027596,2R:14901475..14928425(-1)
Lap1,FBgn0033984,2R:14935660..14940722(1)
aPKC,FBgn0261854,2R:14944458..14962969(-1)
ckn,FBgn0033987,2R:14963292..14980795(1)
pcs,FBgn0033988,2R:14981263..14991336(1)
CG7639,FBgn0033989,2R:14987660..14992230(-1)
CG10265,FBgn0033990,2R:14992332..14993835(-1)
hbs,FBgn0287864,2R:15011396..15042134(1)
chn,FBgn0015371,2R:15115236..15144783(1)
Polr2K,FBgn0262954,2R:15144968..15145519(-1)
CG8089,FBgn0033993,2R:15145825..15147824(-1)
CG7544,FBgn0033994,2R:15147860..15149709(1)
GPHR,FBgn0033995,2R:15199065..15201200(-1)
CG11807,FBgn0033996,2R:15201253..15204466(1)
row,FBgn0033998,2R:15206527..15213634(-1)
CG11808,FBgn0034000,2R:15216207..15217070(1)
mRpL41,FBgn0034001,2R:15217024..15217617(-1)
CG8079,FBgn0034002,2R:15218379..15224795(1)
Fs,FBgn0259878,2R:15223560..15241589(-1)
scb,FBgn0286785,2R:15248784..15258498(1)
Trpm,FBgn0265194,2R:15262808..15309368(-1)
CG8152,FBgn0034008,2R:15309931..15311134(-1)
Xpc,FBgn0004698,2R:15311510..15318239(1)
CG8155,FBgn0034009,2R:15317817..15322171(-1)
Arf6,FBgn0013750,2R:15322501..15325490(1)
unc-5,FBgn0034013,2R:15340472..15368300(1)
Pms2,FBgn0011660,2R:15368074..15371520(-1)
CR43275,FBgn0262964,2R:15373890..15374721(-1)
dup,FBgn0000996,2R:15376619..15380988(-1)
SRPK,FBgn0286813,2R:15380724..15387851(1)
CG8180,FBgn0034021,2R:15472175..15482834(-1)
Pgant1,FBgn0034025,2R:15511710..15515597(1)
Khc-73,FBgn0019968,2R:15515778..15532259(-1)
CG30467,FBgn0050467,2R:15538175..15540014(1)
CG8187,FBgn0034027,2R:15539554..15541363(-1)
Vha36-1,FBgn0022097,2R:15541435..15542498(1)
eIF2Bgamma,FBgn0034029,2R:15542661..15544409(1)
CG8195,FBgn0034032,2R:15562697..15565801(-1)
Flo1,FBgn0024754,2R:15566271..15569404(-1)
CG30466,FBgn0050466,2R:15568960..15573170(1)
Cdk5,FBgn0013762,2R:15569528..15571417(-1)
CG8204,FBgn0034033,2R:15573144..15573991(-1)
fus,FBgn0023441,2R:15657318..15676669(-1)
Gmppa,FBgn0034035,2R:15677218..15678956(-1)
Vha14-1,FBgn0262512,2R:15679426..15680084(-1)
Impbeta11,FBgn0284254,2R:15682719..15687415(1)
CG30089,FBgn0050089,2R:15727381..15762044(1)
Zasp52,FBgn0265991,2R:15762565..15817004(-1)
tun,FBgn0034046,2R:15794000..15855645(1)
Rif1,FBgn0050085,2R:15864309..15869147(-1)
sli,FBgn0264089,2R:15869495..15922118(-1)
bdg,FBgn0034049,2R:15923040..15931935(-1)
Diap2,FBgn0015247,2R:15932170..15934825(-1)
bug,FBgn0034050,2R:15934825..15935938(1)
Mlf,FBgn0034051,2R:15935893..15940073(-1)
Strn-Mlck,FBgn0265045,2R:15946933..15989498(-1)
CG8366,FBgn0034054,2R:15955040..15956636(1)
CG8314,FBgn0034057,2R:15989683..15991286(-1)
Pex11ab,FBgn0034058,2R:15991367..15992375(-1)
CG8320,FBgn0034059,2R:15992408..15993707(1)
Acly,FBgn0020236,2R:15993531..16001290(-1)
Tmem131,FBgn0034060,2R:16001181..16006901(1)
Ufc1,FBgn0034061,2R:16006893..16007667(-1)
CG8389,FBgn0034063,2R:16008339..16013815(1)
CG8388,FBgn0034062,2R:16009401..16011438(-1)
Prosbeta1,FBgn0010590,2R:16013805..16014787(-1)
Rrp42,FBgn0034065,2R:16014908..16016050(1)
EMC7,FBgn0034066,2R:16016042..16017154(-1)
CG8399,FBgn0034067,2R:16017737..16024627(1)
casp,FBgn0034068,2R:16024628..16028161(-1)
CG8405,FBgn0034071,2R:16047648..16060835(1)
Dg,FBgn0034072,2R:16081176..16098564(-1)
mRpL34,FBgn0083983,2R:16098948..16099337(1)
CG8414,FBgn0034073,2R:16099306..16102608(-1)
Rho1,FBgn0014020,2R:16102687..16107229(1)
Ric,FBgn0265605,2R:16107440..16110017(-1)
Asph,FBgn0034075,2R:16110331..16116996(1)
Jhe,FBgn0010052,2R:16119793..16122773(1)
spin,FBgn0086676,2R:16124981..16138238(1)
Got1,FBgn0001124,2R:16138352..16141928(1)
CG30094,FBgn0050094,2R:16142202..16142935(1)
CysRS,FBgn0027091,2R:16143147..16145906(1)
sotv,FBgn0029175,2R:16145904..16148719(-1)
CG10731,FBgn0034081,2R:16148812..16149795(-1)
lbk,FBgn0034083,2R:16150123..16169519(1)
lncRNA:CR45994,FBgn0267656,2R:16153906..16154551(1)
CG8435,FBgn0034084,2R:16169600..16170861(-1)
Lis-1,FBgn0015754,2R:16178826..16185103(1)
CG8441,FBgn0034086,2R:16185122..16186506(-1)
clu,FBgn0034087,2R:16186584..16194277(1)
caly,FBgn0262166,2R:16194062..16196333(-1)
CG44242,FBgn0265177,2R:16196384..16196928(1)
Lipt1,FBgn0265178,2R:16197042..16199555(1)
Shark,FBgn0015295,2R:16199426..16202884(-1)
mrj,FBgn0034091,2R:16203329..16221793(-1)
CG15706,FBgn0034093,2R:16223218..16230680(-1)
krimp,FBgn0034098,2R:16238103..16240722(-1)
fidipidine,FBgn0025519,2R:16262284..16264619(-1)
csul,FBgn0015925,2R:16264652..16266959(1)
Khc,FBgn0001308,2R:16266960..16271971(-1)
JhI-26,FBgn0028424,2R:16289320..16291333(1)
CG7747,FBgn0034109,2R:16292264..16294130(-1)
Atg9,FBgn0034110,2R:16294400..16297232(1)
CG8060,FBgn0034113,2R:16316313..16320732(-1)
CG30096,FBgn0050096,2R:16320815..16322124(-1)
CG4282,FBgn0034114,2R:16322186..16324801(1)
Vha44,FBgn0287825,2R:16324813..16336637(-1)
Hmgs,FBgn0010611,2R:16336090..16341242(1)
CG7997,FBgn0034117,2R:16341251..16344182(-1)
Nup62,FBgn0034118,2R:16344377..16345828(1)
wcd,FBgn0262560,2R:16345838..16347500(-1)
jtb,FBgn0034126,2R:16432244..16433183(1)
Sema2a,FBgn0011260,2R:16500178..16533459(1)
RpS15,FBgn0034138,2R:16570112..16571230(-1)
Cdk4,FBgn0016131,2R:16579470..16585448(1)
RpLP2,FBgn0003274,2R:16586129..16586732(1)
Dolk,FBgn0034141,2R:16587045..16589184(-1)
CG8306,FBgn0034142,2R:16589518..16594646(-1)
CG5065,FBgn0034145,2R:16607654..16624894(1)
Alk,FBgn0040505,2R:16625293..16640011(-1)
gprs,FBgn0024232,2R:16641243..16651125(1)
Picot,FBgn0024315,2R:16655323..16667675(-1)
Pgant9,FBgn0050463,2R:16673235..16732916(-1)
Idgf6,FBgn0013763,2R:16691022..16693751(1)
unc-104,FBgn0267002,2R:16751503..16772671(-1)
Sod2,FBgn0010213,2R:16772785..16773915(-1)
RalGPS,FBgn0034158,2R:16783671..16792472(1)
lncRNA:CR43650,FBgn0263659,2R:16829095..16839494(1)
IntS8,FBgn0289323,2R:16850437..16854104(1)
Fen1,FBgn0025832,2R:16854025..16855464(-1)
Dek,FBgn0026533,2R:16856220..16861738(1)
Psi,FBgn0014870,2R:16861321..16867714(-1)
eEF1beta,FBgn0028737,2R:16868222..16869280(1)
mute,FBgn0085444,2R:16948296..16955266(-1)
Ufm1,FBgn0085220,2R:16951837..16952581(1)
PIG-V,FBgn0265174,2R:16955458..16957308(1)
CG6665,FBgn0034172,2R:16957465..16958927(1)
ste24a,FBgn0034176,2R:17000244..17001941(-1)
AsnRS-m,FBgn0034177,2R:17001994..17003599(1)
NiPp1,FBgn0026402,2R:17003563..17005149(-1)
CG6805,FBgn0034179,2R:17005451..17007501(1)
Ehbp1,FBgn0034180,2R:17007674..17015894(-1)
Paip1,FBgn0034181,2R:17016226..17019522(-1)
Dark,FBgn0263864,2R:17020027..17026703(1)
RhoGEF2,FBgn0023172,2R:17027190..17044653(1)
CG9646,FBgn0034184,2R:17048875..17053855(1)
tef,FBgn0086350,2R:17054546..17056835(-1)
CG8950,FBgn0034186,2R:17059331..17062634(-1)
Mov10,FBgn0034187,2R:17062775..17066546(1)
CG30460,FBgn0050460,2R:17065971..17087633(-1)
Sply,FBgn0010591,2R:17088441..17091958(-1)
CG6984,FBgn0034191,2R:17091984..17093070(1)
GstS1,FBgn0010226,2R:17093246..17099501(-1)
CG43107,FBgn0262567,2R:17140495..17140865(-1)
CG17290,FBgn0034201,2R:17154589..17157125(1)
CG30457,FBgn0050457,2R:17160122..17160829(-1)
CG10953,FBgn0034204,2R:17165084..17166643(-1)
mbl,FBgn0265487,2R:17216549..17379376(1)
CG10939,FBgn0010620,2R:17394593..17405171(1)
Camp,FBgn0034210,2R:17405304..17407427(-1)
Prosalpha5,FBgn0016697,2R:17412767..17413769(1)
cnk,FBgn0286070,2R:17413970..17420007(-1)
l(2)k01209,FBgn0022029,2R:17420407..17425679(1)
CG6550,FBgn0034214,2R:17425670..17427511(-1)
Mtap,FBgn0034215,2R:17427795..17429315(1)
Bap55,FBgn0025716,2R:17429353..17430963(-1)
Lhr,FBgn0034217,2R:17431032..17432219(1)
EDTP,FBgn0027506,2R:17432173..17444938(-1)
robl,FBgn0024196,2R:17456472..17457129(1)
CG14478,FBgn0028953,2R:17457663..17465795(1)
Tes,FBgn0034223,2R:17465879..17469177(-1)
qkr54B,FBgn0022987,2R:17469624..17475129(1)
insb,FBgn0034224,2R:17475214..17476272(-1)
veil,FBgn0034225,2R:17478158..17482118(1)
nw,FBgn0283508,2R:17502354..17508645(1)
CG4853,FBgn0034230,2R:17514217..17517445(1)
APC10,FBgn0034231,2R:17517261..17518186(-1)
CG4866,FBgn0034232,2R:17518223..17519027(1)
Patronin,FBgn0263197,2R:17519024..17535866(-1)
eIF3b,FBgn0034237,2R:17536213..17539142(1)
CG34194,FBgn0085223,2R:17544190..17545045(1)
cyp33,FBgn0028382,2R:17545222..17546400(1)
RpL18A,FBgn0010409,2R:17546406..17547462(-1)
MESR4,FBgn0034240,2R:17547769..17556289(1)
Ns2,FBgn0034243,2R:17565779..17568456(-1)
POSH,FBgn0040294,2R:17568732..17572322(1)
UQCR-6.4,FBgn0034245,2R:17572096..17572784(-1)
CG42239,FBgn0250868,2R:17572829..17573330(1)
Rab4,FBgn0016701,2R:17573462..17574979(1)
Dcr-2,FBgn0034246,2R:17574979..17581525(-1)
CG14483,FBgn0034248,2R:17585195..17586294(-1)
asRNA:CR45275,FBgn0266813,2R:17585692..17586243(1)
RhoGAP54D,FBgn0034249,2R:17586425..17590884(-1)
icln,FBgn0029079,2R:17590964..17591881(1)
CG30105,FBgn0050105,2R:17591804..17592509(-1)
Smurf,FBgn0029006,2R:17592791..17604461(1)
CG10936,FBgn0034253,2R:17604951..17639138(-1)
rhi,FBgn0004400,2R:17628491..17633516(-1)
Oxp,FBgn0034255,2R:17633797..17634167(-1)
eIF3c,FBgn0034258,2R:17665678..17669275(1)
CG30108,FBgn0050108,2R:17669395..17670000(1)
CG30109,FBgn0050109,2R:17670082..17670748(1)
P32,FBgn0034259,2R:17671309..17672640(-1)
Sema1b,FBgn0016059,2R:17672839..17683499(-1)
HPS4,FBgn0034261,2R:17683574..17690822(1)
rdgBbeta,FBgn0027872,2R:17695776..17698362(-1)
Uhg1,FBgn0045800,2R:17699097..17703344(1)
Dlish,FBgn0034264,2R:17723309..17725056(1)
Snx16,FBgn0034265,2R:17725030..17726847(-1)
CG4975,FBgn0034266,2R:17726914..17732987(1)
CG34195,FBgn0085224,2R:17733238..17734483(1)
Hyccin,FBgn0034269,2R:17734419..17737269(-1)
PIG-A,FBgn0034270,2R:17737622..17739685(-1)
Vps50,FBgn0034271,2R:17739901..17743969(1)
sub,FBgn0003545,2R:17745500..17748078(-1)
CG5002,FBgn0034275,2R:17750293..17753214(1)
HLH54F,FBgn0022740,2R:17757405..17760517(1)
Acox1,FBgn0027572,2R:17760940..17764541(1)
OstDelta,FBgn0034277,2R:17764574..17767070(-1)
aft,FBgn0026309,2R:17786135..17788556(1)
Ubc10,FBgn0026316,2R:17788412..17789410(-1)
CG5033,FBgn0028744,2R:17789679..17792448(1)
Dhit,FBgn0028743,2R:17792870..17800677(1)
asRNA:CR45270,FBgn0266808,2R:17795886..17801924(-1)
grh,FBgn0259211,2R:17801132..17842820(1)
Orai,FBgn0041585,2R:17843442..17860582(1)
olf186-M,FBgn0015522,2R:17846699..17848444(1)
thr,FBgn0003701,2R:17861273..17865963(-1)
Mapmodulin,FBgn0034282,2R:17866178..17872015(-1)
lncRNA:CR44417,FBgn0265590,2R:17869027..17869857(1)
CG5773,FBgn0034290,2R:18042296..18043744(-1)
CG5757,FBgn0034299,2R:18093723..18094900(-1)
CG5098,FBgn0034300,2R:18094940..18101031(1)
stau,FBgn0003520,2R:18117896..18125779(-1)
Spn55B,FBgn0028983,2R:18126347..18128210(1)
Dlip3,FBgn0040465,2R:18128494..18130246(1)
Hsf,FBgn0001222,2R:18130303..18134634(-1)
Pcl,FBgn0003044,2R:18135426..18139990(1)
pAbp,FBgn0265297,2R:18140078..18147191(1)
EMRE,FBgn0062440,2R:18147297..18147997(-1)
CG5742,FBgn0034304,2R:18148096..18151410(-1)
adp,FBgn0000057,2R:18151704..18154060(1)
lolal,FBgn0022238,2R:18154095..18158192(-1)
CG10914,FBgn0034307,2R:18158257..18160310(1)
Naus,FBgn0034308,2R:18160720..18164746(1)
Nup75,FBgn0034310,2R:18164694..18167140(-1)
Dgp-1,FBgn0027836,2R:18168413..18172607(-1)
CG10916,FBgn0034312,2R:18173669..18175725(1)
CG5726,FBgn0034313,2R:18175255..18180197(-1)
nopo,FBgn0034314,2R:18180496..18182519(1)
CG5721,FBgn0034315,2R:18182435..18184090(-1)
fj,FBgn0000658,2R:18232761..18236311(1)
Ote,FBgn0266420,2R:18275607..18277177(-1)
pen-2,FBgn0053198,2R:18277439..18278762(1)
sbb,FBgn0285917,2R:18278198..18357296(-1)
CG14502,FBgn0034321,2R:18288696..18294712(1)
CG18536,FBgn0034322,2R:18294759..18295658(1)
GstE10,FBgn0063499,2R:18396638..18398519(-1)
GstE1,FBgn0034335,2R:18398393..18399223(1)
GstE3,FBgn0063497,2R:18400713..18401467(1)
GstE6,FBgn0063494,2R:18406011..18406761(1)
GstE7,FBgn0063493,2R:18406924..18407688(1)
GstE8,FBgn0063492,2R:18407834..18408955(1)
imd,FBgn0013983,2R:18409796..18413599(-1)
Dp1,FBgn0027835,2R:18412027..18421124(1)
CG5174,FBgn0034345,2R:18421413..18426221(1)
PIG-O,FBgn0034346,2R:18426421..18430333(1)
Ttd14,FBgn0284257,2R:18430315..18440475(-1)
slim,FBgn0261477,2R:18440965..18445526(1)
Prp19,FBgn0261119,2R:18447361..18451041(-1)
rswl,FBgn0034351,2R:18451284..18452736(1)
GstE11,FBgn0034354,2R:18503608..18505025(1)
Pepck2,FBgn0034356,2R:18527430..18535749(1)
GEFmeso,FBgn0050115,2R:18554119..18611777(-1)
CG10927,FBgn0034360,2R:18613090..18614255(1)
mRpS28,FBgn0034361,2R:18614210..18615018(-1)
CG5323,FBgn0034362,2R:18615060..18615999(1)
Atg7,FBgn0034366,2R:18620466..18625044(-1)
CG5335,FBgn0034365,2R:18621541..18622986(1)
Sec6,FBgn0266671,2R:18625249..18627718(1)
Cth,FBgn0000566,2R:18627918..18629395(1)
zda,FBgn0034368,2R:18629594..18632045(-1)
CG30122,FBgn0050122,2R:18632328..18639270(-1)
Ntan1,FBgn0034371,2R:18640862..18658222(-1)
edl,FBgn0023214,2R:18667527..18673536(-1)
CG42855,FBgn0262102,2R:18687372..18688641(1)
Sik3,FBgn0262103,2R:18688132..18705805(1)
CG15073,FBgn0034379,2R:18705977..18708226(1)
Vps51,FBgn0034380,2R:18708152..18710865(-1)
Jabba,FBgn0259682,2R:18757074..18761082(-1)
Mctp,FBgn0034389,2R:18761758..18774824(1)
CG15093,FBgn0034390,2R:18775669..18776978(-1)
CG15080,FBgn0034391,2R:18783299..18794594(1)
MFS15,FBgn0034392,2R:18794618..18796678(-1)
MFS14,FBgn0010651,2R:18796975..18803727(-1)
Phb2,FBgn0010551,2R:18819467..18822250(1)
CG15098,FBgn0034398,2R:18833372..18834775(-1)
CG15083,FBgn0034399,2R:18835263..18836842(1)
CG15099,FBgn0034400,2R:18836821..18846619(-1)
MetRS,FBgn0034401,2R:18846858..18850599(-1)
CG15084,FBgn0034402,2R:18850844..18851963(1)
CG18190,FBgn0034403,2R:18851907..18853043(-1)
Jheh1,FBgn0010053,2R:18853434..18855087(-1)
Jheh2,FBgn0034405,2R:18855767..18858245(-1)
Jheh3,FBgn0034406,2R:18860375..18862078(-1)
sano,FBgn0034408,2R:18878391..18959500(1)
prod,FBgn0014269,2R:18969404..18971133(-1)
CG15107,FBgn0041702,2R:18971309..18972537(-1)
Topors,FBgn0267351,2R:18972612..18977262(1)
5-HT1B,FBgn0263116,2R:19022325..19032642(-1)
botv,FBgn0027535,2R:19129589..19133706(1)
CG15118,FBgn0034418,2R:19133727..19137169(-1)
CG15111,FBgn0034419,2R:19137372..19141034(1)
ena,FBgn0000578,2R:19141632..19163705(1)
CG10737,FBgn0034420,2R:19164143..19178223(1)
hppy,FBgn0263395,2R:19178738..19227193(1)
CG7137,FBgn0034422,2R:19227344..19228613(1)
cora,FBgn0010434,2R:19229063..19243751(1)
rib,FBgn0003254,2R:19270078..19281396(1)
CG11906,FBgn0034425,2R:19281418..19283961(-1)
AANATL6,FBgn0034428,2R:19287983..19288995(1)
Fkbp12,FBgn0013954,2R:19290109..19290962(1)
mip40,FBgn0034430,2R:19291105..19292196(-1)
Tab2,FBgn0086358,2R:19292529..19304508(1)
Acadvl,FBgn0034432,2R:19305172..19307445(1)
EndoB,FBgn0034433,2R:19307447..19310665(-1)
CG11961,FBgn0034436,2R:19357532..19363124(1)
CG11257,FBgn0034442,2R:19390128..19391900(1)
SdhA,FBgn0261439,2R:19391863..19395971(-1)
cer,FBgn0034443,2R:19396215..19396772(-1)
hts,FBgn0263391,2R:19397032..19424903(-1)
CalpA,FBgn0012051,2R:19425113..19430564(1)
Fak,FBgn0020440,2R:19430659..19437259(-1)
Spt5,FBgn0040273,2R:19437483..19441898(1)
RpL11,FBgn0013325,2R:19442342..19443825(1)
EloC,FBgn0266711,2R:19445085..19446286(-1)
betaTub56D,FBgn0284243,2R:19447319..19451600(-1)
CG7744,FBgn0034447,2R:19452504..19455527(1)
par-1,FBgn0260934,2R:19456170..19485686(1)
mei-W68,FBgn0002716,2R:19456170..19459523(1)
Tbcb,FBgn0034451,2R:19485494..19486837(-1)
Oseg6,FBgn0034452,2R:19487046..19491846(-1)
Rep,FBgn0026378,2R:19492087..19494125(1)
hpo,FBgn0261456,2R:19493996..19496856(-1)
CG16926,FBgn0040732,2R:19500295..19501418(-1)
CG11007,FBgn0034455,2R:19503068..19504594(1)
sm,FBgn0003435,2R:19517864..19631508(-1)
lncRNA:CR44504,FBgn0265697,2R:19659645..19661847(-1)
CG11018,FBgn0034464,2R:19662436..19663738(1)
hrg,FBgn0015949,2R:19663919..19669832(-1)
Kpc2,FBgn0028372,2R:19670618..19673477(1)
Toll-7,FBgn0034476,2R:19826578..19832973(1)
CG8654,FBgn0034479,2R:19979242..19984895(1)
18w,FBgn0287775,2R:20111511..20116932(1)
Hacl,FBgn0034488,2R:20242752..20245388(-1)
Ate1,FBgn0025720,2R:20254966..20257390(-1)
Hsl,FBgn0034491,2R:20257650..20261726(1)
PCNA,FBgn0005655,2R:20261754..20262883(-1)
plu,FBgn0003114,2R:20262958..20263684(-1)
RpS18,FBgn0010411,2R:20263979..20264848(1)
CG10444,FBgn0034494,2R:20271653..20274499(-1)
CG11788,FBgn0034495,2R:20274597..20276142(1)
CG9143,FBgn0287774,2R:20275973..20278915(-1)
CG16868,FBgn0034498,2R:20281629..20287094(-1)
Cpr56F,FBgn0034499,2R:20288371..20291945(-1)
CG11200,FBgn0034500,2R:20304517..20308671(-1)
CG13868,FBgn0034501,2R:20308777..20316917(-1)
tapas,FBgn0027529,2R:20319180..20325973(1)
MED8,FBgn0034503,2R:20325844..20326806(-1)
CG8929,FBgn0034504,2R:20327270..20330721(1)
CG13427,FBgn0034514,2R:20538877..20539316(-1)
CG13428,FBgn0034515,2R:20539512..20540448(-1)
Mgat1,FBgn0034521,2R:20559156..20562331(-1)
Nnf1a,FBgn0034523,2R:20586222..20587238(-1)
HnRNP-K,FBgn0267791,2R:20587551..20606854(1)
Hil,FBgn0050147,2R:20606881..20618217(-1)
CG9945,FBgn0034527,2R:20618503..20621081(1)
CG11180,FBgn0034528,2R:20620914..20623429(-1)
FAM21,FBgn0034529,2R:20623547..20628315(1)
rig,FBgn0250850,2R:20633876..20640681(-1)
maf-S,FBgn0034534,2R:20640976..20641668(1)
CG11110,FBgn0034535,2R:20641742..20642558(1)
DMAP1,FBgn0034537,2R:20644036..20645865(1)
Lrt,FBgn0034540,2R:20646360..20661070(1)
Fem-1,FBgn0034542,2R:20662474..20667306(-1)
exu,FBgn0000615,2R:20667427..20671083(-1)
galla-1,FBgn0034543,2R:20670636..20673495(1)
insc,FBgn0011674,2R:20821262..20836028(-1)
sktl,FBgn0016984,2R:20827282..20836028(-1)
Ipk1,FBgn0050295,2R:20870791..20879145(1)
Cib2,FBgn0034558,2R:20879930..20882663(1)
otp,FBgn0015524,2R:20883625..20903414(-1)
Rx,FBgn0020617,2R:20916753..20937030(1)
Act57B,FBgn0000044,2R:20944021..20946431(1)
hbn,FBgn0008636,2R:20954668..20960909(-1)
CG9344,FBgn0034564,2R:20977056..20977600(1)
dgt3,FBgn0034569,2R:20992276..20994381(-1)
Prosalpha3,FBgn0261394,2R:20994900..20996118(1)
CG10543,FBgn0034570,2R:20996220..21007740(1)
CG30291,FBgn0050291,2R:21007755..21009576(-1)
grau,FBgn0001133,2R:21009764..21011921(-1)
CG9346,FBgn0034572,2R:21011970..21015628(1)
Sou,FBgn0034573,2R:21015594..21017446(-1)
RIC-3,FBgn0050296,2R:21017784..21024918(1)
ND-B14.7,FBgn0034576,2R:21025078..21026086(1)
shg,FBgn0003391,2R:21049654..21057197(-1)
cpa,FBgn0034577,2R:21057787..21059883(1)
CG15653,FBgn0034578,2R:21059780..21060547(-1)
mRpL54,FBgn0034579,2R:21060789..21061587(1)
CG10527,FBgn0034583,2R:21070368..21072789(-1)
Treh,FBgn0003748,2R:21074018..21088945(1)
Rbpn-5,FBgn0034585,2R:21088386..21091004(-1)
CG34396,FBgn0085425,2R:21092222..21101453(1)
Gar1,FBgn0011824,2R:21095958..21097305(-1)
ktub,FBgn0015721,2R:21101928..21123704(1)
Tmtc3,FBgn0020312,2R:21123735..21128510(-1)
mago,FBgn0002736,2R:21128577..21129737(1)
Magi,FBgn0034590,2R:21129463..21142261(-1)
Xbp1,FBgn0021872,2R:21143545..21145750(1)
Hmg-2,FBgn0026582,2R:21146203..21147608(1)
CG30389,FBgn0050389,2R:21148265..21160545(-1)
Isha,FBgn0034598,2R:21161713..21168659(-1)
hng1,FBgn0034599,2R:21168930..21170010(1)
LSm1,FBgn0261067,2R:21169969..21170672(-1)
Xpd,FBgn0261850,2R:21171001..21174504(1)
tud,FBgn0003891,2R:21183322..21192913(1)
Lapsyn,FBgn0034602,2R:21193571..21199431(1)
CG44245,FBgn0265180,2R:21200483..21212969(1)
Gyg,FBgn0265191,2R:21200483..21210821(1)
Ugt49B1,FBgn0027073,2R:21212880..21214972(-1)
ASPP,FBgn0034606,2R:21217856..21251150(-1)
MFS16,FBgn0034611,2R:21282298..21285679(1)
CG30392,FBgn0050392,2R:21290914..21292181(-1)
Sgf29,FBgn0050390,2R:21292239..21293646(-1)
RpL29,FBgn0016726,2R:21293768..21294404(1)
CG9752,FBgn0034614,2R:21294402..21295588(-1)
Arms,FBgn0261554,2R:21295652..21310411(1)
asRNA:CR44724,FBgn0265937,2R:21297495..21298495(-1)
Panx,FBgn0034617,2R:21310368..21312354(-1)
CG9485,FBgn0034618,2R:21312399..21319569(1)
CG30394,FBgn0050394,2R:21320040..21323320(-1)
dom,FBgn0020306,2R:21323430..21341847(1)
cv-2,FBgn0000395,2R:21355015..21379464(-1)
bisc,FBgn0034626,2R:21383227..21384391(-1)
eEFSec,FBgn0034627,2R:21384552..21386221(-1)
Acox57D-p,FBgn0034628,2R:21386309..21389276(1)
Acox57D-d,FBgn0034629,2R:21389405..21392439(1)
Sdc,FBgn0010415,2R:21392402..21481176(-1)
Sara,FBgn0026369,2R:21481927..21487107(1)
Fkbp14,FBgn0010470,2R:21487167..21497929(-1)
TAF1C-like,FBgn0034631,2R:21498903..21501732(-1)
MESK2,FBgn0043070,2R:21502097..21517241(1)
CG10494,FBgn0034634,2R:21516774..21519125(-1)
Egfr,FBgn0003731,2R:21522420..21559977(1)
CG18870,FBgn0042180,2R:21613845..21616907(-1)
clt,FBgn0000326,2R:21617061..21619079(-1)
PTP-ER,FBgn0016641,2R:21619321..21624446(-1)
mahj,FBgn0034641,2R:21625030..21631422(1)
asRNA:CR42547,FBgn0260720,2R:21631421..21634040(-1)
CG10321,FBgn0034643,2R:21634679..21638399(1)
Ip6k,FBgn0034644,2R:21646177..21657935(1)
ND-B12,FBgn0034645,2R:21658078..21658777(1)
Rae1,FBgn0034646,2R:21658770..21660007(-1)
CG42365,FBgn0259711,2R:21666687..21667594(1)
NC2alpha,FBgn0034650,2R:21670152..21671593(1)
eIF3k,FBgn0034654,2R:21685283..21686201(1)
Tbp,FBgn0003687,2R:21686192..21687642(-1)
CG10307,FBgn0034655,2R:21688773..21690253(1)
HmgZ,FBgn0010228,2R:21697488..21707861(-1)
HmgD,FBgn0004362,2R:21701458..21716727(1)
CG30403,FBgn0050403,2R:21709895..21711613(-1)
Tango11,FBgn0050404,2R:21716780..21719963(-1)
LBR,FBgn0034657,2R:21720495..21724055(1)
CG9304,FBgn0034674,2R:21973122..21976386(1)
dany,FBgn0050401,2R:21985626..21986938(-1)
Snp,FBgn0265192,2R:22060950..22069757(1)
